locus	transcript	exp	obs
20:62038000	ENST00000359125	6.8145e-02	1
20:62038001	ENST00000359125	8.4634e-02	0
20:62038002	ENST00000359125	5.6164e-02	0
20:62038003	ENST00000359125	6.8784e-02	1
20:62038004	ENST00000359125	1.6764e-01	0
20:62038005	ENST00000359125	1.5556e-02	0
20:62038007	ENST00000359125	1.9929e-01	0
20:62038008	ENST00000359125	1.9873e-01	0
20:62038010	ENST00000359125	8.4950e-02	0
20:62038011	ENST00000359125	1.8452e+00	1
20:62038013	ENST00000359125	2.0340e-01	0
20:62038014	ENST00000359125	1.7178e-01	1
20:62038015	ENST00000359125	8.7209e-02	0
20:62038016	ENST00000359125	5.4877e-02	0
20:62038017	ENST00000359125	1.1220e-01	0
20:62038019	ENST00000359125	2.0526e-01	0
20:62038020	ENST00000359125	2.0715e-01	0
20:62038022	ENST00000359125	1.1669e-01	1
20:62038023	ENST00000359125	1.6273e-01	0
20:62038024	ENST00000359125	1.6273e-01	0
20:62038025	ENST00000359125	1.0008e-01	0
20:62038026	ENST00000359125	1.4342e-01	0
20:62038028	ENST00000359125	2.5380e-01	0
20:62038029	ENST00000359125	1.4896e-01	0
20:62038030	ENST00000359125	4.0297e-02	0
20:62038031	ENST00000359125	8.2913e-02	0
20:62038032	ENST00000359125	8.9152e-02	0
20:62038034	ENST00000359125	2.0715e-01	0
20:62038035	ENST00000359125	1.7923e-01	0
20:62038037	ENST00000359125	1.7400e-01	0
20:62038038	ENST00000359125	2.0715e-01	0
20:62038039	ENST00000359125	6.1470e-02	0
20:62038040	ENST00000359125	7.7118e-02	0
20:62038041	ENST00000359125	1.4771e+00	0
20:62038043	ENST00000359125	2.0526e-01	0
20:62038044	ENST00000359125	1.8942e+00	1
20:62038046	ENST00000359125	2.5380e-01	1
20:62038047	ENST00000359125	1.1669e-01	0
20:62038049	ENST00000359125	8.4433e-02	0
20:62038050	ENST00000359125	2.0526e-01	1
20:62038052	ENST00000359125	7.7252e-02	0
20:62038053	ENST00000359125	7.7118e-02	0
20:62038055	ENST00000359125	1.8998e+00	0
20:62038056	ENST00000359125	2.1451e+00	1
20:62038058	ENST00000359125	1.4896e-01	0
20:62038059	ENST00000359125	2.0526e-01	0
20:62038061	ENST00000359125	1.8942e+00	1
20:62038062	ENST00000359125	2.0715e-01	1
20:62038064	ENST00000359125	2.0715e-01	0
20:62038065	ENST00000359125	2.0526e-01	0
20:62038067	ENST00000359125	2.0715e-01	0
20:62038068	ENST00000359125	1.8942e+00	2
20:62038069	ENST00000359125	5.5539e-02	1
20:62038070	ENST00000359125	1.6638e-01	1
20:62038071	ENST00000359125	1.1669e-01	0
20:62038073	ENST00000359125	1.8942e+00	1
20:62038074	ENST00000359125	2.0715e-01	0
20:62038076	ENST00000359125	2.5380e-01	1
20:62038077	ENST00000359125	1.0256e-01	0
20:62038078	ENST00000359125	1.4333e-02	0
20:62038079	ENST00000359125	2.0472e-01	0
20:62038080	ENST00000359125	1.1220e-01	0
20:62038082	ENST00000359125	7.7118e-02	0
20:62038083	ENST00000359125	1.7539e-01	0
20:62038084	ENST00000359125	1.1427e-01	0
20:62038085	ENST00000359125	8.5400e-02	0
20:62038086	ENST00000359125	1.5492e+00	0
20:62038088	ENST00000359125	1.7923e-01	0
20:62038089	ENST00000359125	3.3402e-02	0
20:62038090	ENST00000359125	7.1783e-02	0
20:62038091	ENST00000359125	1.0008e-01	0
20:62038092	ENST00000359125	1.5492e+00	0
20:62038094	ENST00000359125	2.5380e-01	0
20:62038095	ENST00000359125	1.1669e-01	0
20:62038096	ENST00000359125	7.4322e-02	0
20:62038097	ENST00000359125	1.0008e-01	0
20:62038098	ENST00000359125	1.6520e-01	0
20:62038100	ENST00000359125	8.1136e-02	0
20:62038101	ENST00000359125	1.0008e-01	0
20:62038102	ENST00000359125	7.1783e-02	0
20:62038103	ENST00000359125	7.7118e-02	0
20:62038104	ENST00000359125	1.2805e-01	0
20:62038106	ENST00000359125	1.7923e-01	0
20:62038107	ENST00000359125	1.6479e-01	0
20:62038108	ENST00000359125	6.1470e-02	0
20:62038109	ENST00000359125	7.7118e-02	1
20:62038110	ENST00000359125	1.4286e-01	0
20:62038112	ENST00000359125	1.8998e+00	1
20:62038113	ENST00000359125	1.6638e-01	0
20:62038114	ENST00000359125	2.7444e-02	0
20:62038115	ENST00000359125	1.4745e-01	0
20:62038116	ENST00000359125	2.1860e-01	0
20:62038118	ENST00000359125	1.1689e-01	0
20:62038119	ENST00000359125	1.0270e-01	0
20:62038121	ENST00000359125	2.0715e-01	1
20:62038122	ENST00000359125	2.0526e-01	0
