locus	transcript	obs	exp
1:229567249	ENST00000366684	0	9.2509e-02
1:229567250	ENST00000366684	0	7.6554e-02
1:229567251	ENST00000366684	0	9.4349e-02
1:229567252	ENST00000366684	0	3.4122e-02
1:229567253	ENST00000366684	0	1.7608e-01
1:229567254	ENST00000366684	0	2.3135e-01
1:229567255	ENST00000366684	0	4.1223e-02
1:229567256	ENST00000366684	0	8.7746e-02
1:229567257	ENST00000366684	0	8.5663e-02
1:229567259	ENST00000366684	0	1.2290e+00
1:229567260	ENST00000366684	0	1.3762e+00
1:229567261	ENST00000366684	0	1.2093e-01
1:229567262	ENST00000366684	0	1.2349e-01
1:229567263	ENST00000366684	0	1.5764e-01
1:229567265	ENST00000366684	0	1.0592e-01
1:229567266	ENST00000366684	0	1.7640e+00
1:229567267	ENST00000366684	1	8.1755e-02
1:229567268	ENST00000366684	0	1.3864e-01
1:229567269	ENST00000366684	0	2.3135e-01
1:229567271	ENST00000366684	0	1.8968e-01
1:229567272	ENST00000366684	0	7.6554e-02
1:229567274	ENST00000366684	0	1.8562e-01
1:229567275	ENST00000366684	0	2.1922e-01
1:229567277	ENST00000366684	0	2.1723e-01
1:229567278	ENST00000366684	0	1.3762e+00
1:229567280	ENST00000366684	1	2.1723e-01
1:229567281	ENST00000366684	1	2.1723e-01
1:229567282	ENST00000366684	0	6.5053e-02
1:229567283	ENST00000366684	0	8.1613e-02
1:229567284	ENST00000366684	0	1.1536e+00
1:229567285	ENST00000366684	1	1.7221e-01
1:229567286	ENST00000366684	0	1.0592e-01
1:229567287	ENST00000366684	0	1.2299e+00
1:229567289	ENST00000366684	0	1.2370e-01
1:229567290	ENST00000366684	0	1.2370e-01
1:229567291	ENST00000366684	0	7.5968e-02
1:229567292	ENST00000366684	0	8.1613e-02
1:229567293	ENST00000366684	0	1.5119e-01
1:229567294	ENST00000366684	0	6.5053e-02
1:229567295	ENST00000366684	0	1.1874e-01
1:229567296	ENST00000366684	0	7.4138e-02
1:229567297	ENST00000366684	0	6.3748e-02
1:229567298	ENST00000366684	1	9.4349e-02
1:229567299	ENST00000366684	0	8.5663e-02
1:229567301	ENST00000366684	0	2.6859e-01
1:229567302	ENST00000366684	0	1.2349e-01
1:229567303	ENST00000366684	0	3.1707e-02
1:229567304	ENST00000366684	0	1.3864e-01
1:229567305	ENST00000366684	0	1.3864e-01
1:229567306	ENST00000366684	0	7.6160e-02
1:229567307	ENST00000366684	0	5.8076e-02
1:229567308	ENST00000366684	0	1.2349e-01
1:229567309	ENST00000366684	1	2.1666e-01
1:229567310	ENST00000366684	1	2.3135e-01
1:229567311	ENST00000366684	0	1.3864e-01
1:229567312	ENST00000366684	1	9.2509e-02
1:229567313	ENST00000366684	0	1.1874e-01
1:229567314	ENST00000366684	0	7.4138e-02
1:229567315	ENST00000366684	0	6.3748e-02
1:229567316	ENST00000366684	1	1.1874e-01
1:229567317	ENST00000366684	1	5.8076e-02
1:229567318	ENST00000366684	0	7.6160e-02
1:229567319	ENST00000366684	0	7.6554e-02
1:229567320	ENST00000366684	0	9.4349e-02
1:229567322	ENST00000366684	0	2.6859e-01
1:229567323	ENST00000366684	0	1.2349e-01
1:229567325	ENST00000366684	0	1.8968e-01
1:229567326	ENST00000366684	0	1.0592e-01
1:229567328	ENST00000366684	0	1.1874e-01
1:229567329	ENST00000366684	0	6.3748e-02
1:229567331	ENST00000366684	0	1.1536e+00
1:229567332	ENST00000366684	0	8.1613e-02
1:229567334	ENST00000366684	0	2.1723e-01
1:229567335	ENST00000366684	1	2.1723e-01
1:229567337	ENST00000366684	0	1.1874e-01
1:229567338	ENST00000366684	0	6.5053e-02
1:229567339	ENST00000366684	0	3.7669e-02
1:229567340	ENST00000366684	0	1.3864e-01
1:229567341	ENST00000366684	0	2.3135e-01
1:229567343	ENST00000366684	0	1.8968e-01
1:229567344	ENST00000366684	0	8.1613e-02
1:229567346	ENST00000366684	0	2.1723e-01
1:229567347	ENST00000366684	0	1.3762e+00
1:229567349	ENST00000366684	0	2.1723e-01
1:229567350	ENST00000366684	0	1.3762e+00
1:229567351	ENST00000366684	0	8.1755e-02
1:229567352	ENST00000366684	0	1.3864e-01
1:229567353	ENST00000366684	0	1.3864e-01
1:229567354	ENST00000366684	0	7.6160e-02
1:229567355	ENST00000366684	0	5.8076e-02
1:229567356	ENST00000366684	0	1.2349e-01
1:229567358	ENST00000366684	0	1.2349e-01
1:229567359	ENST00000366684	0	2.6859e-01
1:229567361	ENST00000366684	0	1.1536e+00
1:229567362	ENST00000366684	0	8.1613e-02
1:229567364	ENST00000366684	0	1.2370e-01
1:229567365	ENST00000366684	0	2.1106e-01
1:229567366	ENST00000366684	0	4.1223e-02
1:229567367	ENST00000366684	0	8.7746e-02
1:229567368	ENST00000366684	0	8.5663e-02
1:229567370	ENST00000366684	1	1.2290e+00
